[2025-04-29 19:26:57] [DEBUG   ] main_core: [Started Logger]
[2025-04-29 19:26:57] [INFO    ] main_core: Checking versions...
[2025-04-29 19:26:58] [WARNING ] main_core: Local version (0.0D) does not match online version (GetRequestException).
[2025-04-29 19:27:03] [INFO    ] main_core: Setting Up Intents
[2025-04-29 19:27:03] [INFO    ] main_core: Setting Up Config
[2025-04-29 19:27:03] [INFO    ] main_core: Setting Up Prefix And Bot Const
[2025-04-29 19:27:03] [INFO    ] main_core: Registering Commands Dynamically
[2025-04-29 19:27:03] [DEBUG   ] main_core: Pre-registering events.py...
[2025-04-29 19:27:03] [DEBUG   ] main_core: Skipping __pycache__ as it is not a .py file (.py expected)
[2025-04-29 19:27:03] [DEBUG   ] main_core: Pre-registering admin.py...
[2025-04-29 19:27:03] [DEBUG   ] main_core: Pre-registering afksystem.py...
[2025-04-29 19:27:03] [DEBUG   ] main_core: Pre-registering bothelp.py...
[2025-04-29 19:27:03] [DEBUG   ] main_core: Pre-registering debug.py...
[2025-04-29 19:27:03] [DEBUG   ] main_core: Skipping deprecated_cogs as it is not a .py file (.py expected)
[2025-04-29 19:27:03] [DEBUG   ] main_core: Pre-registering moderation.py...
[2025-04-29 19:27:03] [DEBUG   ] main_core: Pre-registering privatevccontrol.py...
[2025-04-29 19:27:04] [DEBUG   ] main_core: Pre-registering rbxclothing.py...
[2025-04-29 19:27:04] [DEBUG   ] main_core: Pre-registering tickets.py...
[2025-04-29 19:27:04] [DEBUG   ] main_core: Skipping __pycache__ as it is not a .py file (.py expected)
